draft_year,overall_pick,round,pick,name,position,college,conference,nfl_team,height,weight,pre_draft_ranking,pre_draft_grade,Y0_college,Y0_season,Y0_defensive_PD,Y0_defensive_QB HUR,Y0_defensive_SACKS,Y0_defensive_SOLO,Y0_defensive_TD,Y0_defensive_TFL,Y0_defensive_TOT,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_college,Y1_season,Y1_interceptions_AVG,Y1_interceptions_INT,Y1_interceptions_TD,Y1_interceptions_YDS,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_passing_ATT,Y0_passing_COMPLETIONS,Y0_passing_INT,Y0_passing_PCT,Y0_passing_TD,Y0_passing_YDS,Y0_passing_YPA,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_college,Y2_season,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y1_passing_ATT,Y1_passing_COMPLETIONS,Y1_passing_INT,Y1_passing_PCT,Y1_passing_TD,Y1_passing_YDS,Y1_passing_YPA,Y2_passing_ATT,Y2_passing_COMPLETIONS,Y2_passing_INT,Y2_passing_PCT,Y2_passing_TD,Y2_passing_YDS,Y2_passing_YPA,Y3_college,Y3_season,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_interceptions_AVG,Y0_interceptions_INT,Y0_interceptions_TD,Y0_interceptions_YDS,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y2_interceptions_AVG,Y2_interceptions_INT,Y2_interceptions_TD,Y2_interceptions_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y0_punting_In 20,Y0_punting_LONG,Y0_punting_NO,Y0_punting_TB,Y0_punting_YDS,Y0_punting_YPP,Y1_punting_In 20,Y1_punting_LONG,Y1_punting_NO,Y1_punting_TB,Y1_punting_YDS,Y1_punting_YPP,Y3_interceptions_AVG,Y3_interceptions_INT,Y3_interceptions_TD,Y3_interceptions_YDS,Y3_passing_ATT,Y3_passing_COMPLETIONS,Y3_passing_INT,Y3_passing_PCT,Y3_passing_TD,Y3_passing_YDS,Y3_passing_YPA,Y0_kicking_FGA,Y0_kicking_FGM,Y0_kicking_LONG,Y0_kicking_PCT,Y0_kicking_PTS,Y0_kicking_XPA,Y0_kicking_XPM,Y1_kicking_FGA,Y1_kicking_FGM,Y1_kicking_LONG,Y1_kicking_PCT,Y1_kicking_PTS,Y1_kicking_XPA,Y1_kicking_XPM,Y2_kicking_FGA,Y2_kicking_FGM,Y2_kicking_LONG,Y2_kicking_PCT,Y2_kicking_PTS,Y2_kicking_XPA,Y2_kicking_XPM,Y3_kicking_FGA,Y3_kicking_FGM,Y3_kicking_LONG,Y3_kicking_PCT,Y3_kicking_PTS,Y3_kicking_XPA,Y3_kicking_XPM,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y1_defensive_PD,Y1_defensive_QB HUR,Y1_defensive_SACKS,Y1_defensive_SOLO,Y1_defensive_TD,Y1_defensive_TFL,Y1_defensive_TOT,Y2_punting_In 20,Y2_punting_LONG,Y2_punting_NO,Y2_punting_TB,Y2_punting_YDS,Y2_punting_YPP,Y3_punting_In 20,Y3_punting_LONG,Y3_punting_NO,Y3_punting_TB,Y3_punting_YDS,Y3_punting_YPP,Y2_defensive_PD,Y2_defensive_QB HUR,Y2_defensive_SACKS,Y2_defensive_SOLO,Y2_defensive_TD,Y2_defensive_TFL,Y2_defensive_TOT,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC,Y3_defensive_PD,Y3_defensive_QB HUR,Y3_defensive_SACKS,Y3_defensive_SOLO,Y3_defensive_TD,Y3_defensive_TFL,Y3_defensive_TOT
2024,27,1,27,Darius Robinson,Defensive Edge,Missouri,SEC,Arizona,77.0,285.0,30.0,88.0,Missouri,2023.0,0.0,6.0,8.5,29.0,0.0,14.0,43.0,0.0,0.0,1.0,Missouri,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missouri,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missouri,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,3.5,24.0,0.0,6.5,32.0,,,,,,,,,,,,,1.0,0.0,0.0,11.0,0.0,0.5,24.0,,,,,,,0.0,1.0,1.0,6.0,0.0,1.0,12.0
2024,28,1,28,Xavier Worthy,Wide Receiver,Texas,Big 12,Kansas City,71.0,165.0,34.0,87.0,Texas,2023.0,,,,,,,,3.0,2.0,1.0,Texas,2022.0,,,,,9.7,29.0,15.0,0.0,146.0,,,,,,,,54.0,75.0,5.0,1014.0,13.5,4.0,16.0,0.0,35.0,8.8,46.0,60.0,9.0,760.0,12.7,2.0,7.0,0.0,14.0,7.0,Texas,2021.0,16.5,18.0,2.0,0.0,33.0,75.0,62.0,12.0,981.0,15.8,1.0,7.0,0.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,74.0,23.0,1.0,371.0,,,,,,15.7,20.0,3.0,0.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,,,,,,,,,,
2024,29,1,29,Tyler Guyton,Offensive Tackle,Oklahoma,Big 12,Dallas,80.0,322.0,33.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30,1,30,Nate Wiggins,Cornerback,Clemson,ACC,Baltimore,73.0,173.0,25.0,89.0,Clemson,2023.0,6.0,0.0,1.0,22.0,1.0,1.0,27.0,,,,Clemson,2022.0,98.0,1.0,1.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clemson,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,2.0,1.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0,0.0,24.0,1.0,2.0,26.0,,,,,,,,,,,,,2.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,
2024,31,1,31,Ricky Pearsall,Wide Receiver,Florida,SEC,San Francisco,73.0,189.0,35.0,87.0,Florida,2023.0,,,,,,,,1.0,1.0,0.0,Florida,2022.0,,,,,6.8,13.0,4.0,0.0,27.0,,,,,,,,61.0,64.0,4.0,970.0,15.2,3.0,39.0,2.0,62.0,20.7,52.0,33.0,5.0,661.0,20.0,8.0,76.0,1.0,113.0,14.1,Arizona State,2021.0,,,,,,65.0,48.0,4.0,580.0,12.1,6.0,26.0,1.0,44.0,7.3,,,,,,,,,,,,,,,,,,,,Arizona State,2020.0,31.0,6.0,1.0,86.0,14.3,3.0,29.0,1.0,33.0,11.0,,,,,11.5,40.0,11.0,0.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,32,1,32,Xavier Legette,Wide Receiver,South Carolina,SEC,Carolina,73.0,221.0,28.0,89.0,South Carolina,2023.0,,,,,,,,1.0,1.0,0.0,South Carolina,2022.0,,,,,,,,,,,,,,,,,76.0,71.0,7.0,1255.0,17.7,9.0,7.0,0.0,-9.0,-1.0,42.0,18.0,3.0,167.0,9.3,7.0,19.0,0.0,21.0,3.0,South Carolina,2021.0,,,,,,20.0,8.0,1.0,63.0,7.9,,,,,,21.3,40.0,10.0,0.0,213.0,,,,,,,,,,,,,,,South Carolina,2020.0,42.0,7.0,0.0,113.0,16.1,,,,,,,,,,,,,,,29.4,100.0,15.0,1.0,441.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,33,2,1,Keon Coleman,Wide Receiver,Florida State,ACC,Buffalo,75.0,213.0,37.0,86.0,Florida State,2023.0,,,,,,,,3.0,0.0,0.0,Michigan State,2022.0,,,,,,,,,,,,,,,,,58.0,50.0,11.0,658.0,13.2,1.0,2.0,0.0,2.0,2.0,51.0,58.0,7.0,798.0,13.8,,,,,,Michigan State,2021.0,,,,,,12.0,7.0,1.0,50.0,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,72.0,25.0,0.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,34,2,2,Ladd McConkey,Wide Receiver,Georgia,SEC,Los Angeles,72.0,186.0,31.0,88.0,Georgia,2023.0,,,,,,,,,,,Georgia,2022.0,,,,,12.0,39.0,16.0,0.0,192.0,,,,,,,,54.0,30.0,2.0,478.0,15.9,2.0,27.0,1.0,38.0,19.0,37.0,58.0,7.0,762.0,13.1,7.0,70.0,2.0,134.0,19.1,Georgia,2021.0,,,,,,60.0,31.0,5.0,447.0,14.4,4.0,24.0,1.0,44.0,11.0,15.0,15.0,1.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,34.0,5.0,0.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,35,2,3,Ruke Orhorhoro,Defensive Tackle,Clemson,ACC,Atlanta,76.0,294.0,68.0,79.0,Clemson,2023.0,1.0,3.0,5.0,13.0,0.0,8.0,23.0,,,,Clemson,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clemson,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clemson,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,5.0,2.0,4.0,13.0,0.0,8.0,23.0,,,,,,,,,,,,,3.0,0.0,2.5,11.0,0.0,8.0,36.0,0.0,0.0,1.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024,36,2,4,Jer'Zhan Newton,Defensive Tackle,Illinois,Big Ten,Washington,74.0,304.0,21.0,90.0,Illinois,2023.0,2.0,9.0,7.5,26.0,0.0,8.5,52.0,0.0,0.0,1.0,Illinois,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,1.0,11.0,5.0,25.0,0.0,12.5,56.0,,,,,,,,,,,,,0.0,2.0,3.5,19.0,0.0,3.5,50.0,,,,,,,0.0,0.0,1.5,6.0,0.0,1.5,23.0
2024,37,2,5,Ja'Lynn Polk,Wide Receiver,Washington,Pac-12,New England,73.0,203.0,60.0,81.0,Washington,2023.0,,,,,,,,1.0,1.0,0.0,Washington,2022.0,,,,,,,,,,,,,,,,,92.0,69.0,9.0,1159.0,16.8,4.0,27.0,1.0,32.0,8.0,76.0,41.0,6.0,694.0,16.9,1.0,15.0,0.0,15.0,15.0,Washington,2021.0,,,,,,55.0,5.0,1.0,114.0,22.8,,,,,,,,,,,,,,,,,,,,,,,,,Texas Tech,2020.0,60.0,28.0,2.0,264.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,
2024,38,2,6,T'Vondre Sweat,Defensive Tackle,Texas,Big 12,Tennessee,77.0,366.0,61.0,81.0,Texas,2023.0,5.0,5.0,2.0,16.0,0.0,7.5,40.0,,,,Texas,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,0.0,9.0,0.0,2.5,28.0,,,,,,,,,,,,,3.0,0.0,1.0,9.0,0.0,2.0,22.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,4.0,22.0
2024,39,2,7,Braden Fiske,Defensive Tackle,Florida State,ACC,Los Angeles,76.0,292.0,38.0,86.0,Florida State,2023.0,0.0,5.0,6.0,17.0,0.0,9.0,42.0,,,,Western Michigan,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Michigan,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Michigan,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,7.0,4.5,30.0,0.0,10.5,56.0,,,,,,,,,,,,,0.0,3.0,4.0,27.0,0.0,8.0,43.0,,,,,,,0.0,0.0,2.5,7.0,0.0,5.5,23.0
2024,40,2,8,Cooper DeJean,Cornerback,Iowa,Big Ten,Philadelphia,73.0,203.0,19.0,90.0,Iowa,2023.0,5.0,0.0,0.0,26.0,1.0,2.0,41.0,,,,Iowa,2022.0,18.2,5.0,3.0,91.0,16.5,41.0,10.0,0.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iowa,2021.0,20.0,20.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2.0,0.0,41.0,11.5,70.0,21.0,1.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,53.0,3.0,2.0,68.0,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,4.0,,,,,,,,,,,,,
2024,41,2,9,Kool-Aid McKinstry,Cornerback,Alabama,SEC,New Orleans,72.0,199.0,27.0,89.0,Alabama,2023.0,7.0,0.0,0.0,24.0,0.0,2.0,32.0,5.0,2.0,0.0,Alabama,2022.0,26.0,1.0,0.0,26.0,14.4,45.0,23.0,0.0,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alabama,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,33.0,14.0,0.0,86.0,4.0,4.0,1.0,0.0,4.0,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,12.0,0.0,1.0,29.0,0.0,2.0,34.0,,,,,,,,,,,,,1.0,0.0,1.0,9.0,0.0,1.0,26.0,,,,,,,,,,,,,
2024,42,2,10,Kamari Lassiter,Cornerback,Georgia,SEC,Houston,72.0,186.0,45.0,85.0,Georgia,2023.0,8.0,0.0,0.5,21.0,0.0,3.5,37.0,,,,Georgia,2022.0,,,,,-4.0,-4.0,1.0,0.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgia,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.5,23.0,0.0,3.5,30.0,,,,,,,,,,,,,2.0,0.0,0.0,9.0,0.0,0.0,11.0,,,,,,,,,,,,,
2024,43,2,11,Max Melton,Cornerback,Rutgers,Big Ten,Arizona,71.0,187.0,53.0,82.0,Rutgers,2023.0,6.0,0.0,1.0,22.0,0.0,4.0,32.0,0.0,0.0,1.0,Rutgers,2022.0,0.5,2.0,0.0,1.0,23.5,28.0,2.0,0.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutgers,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutgers,2020.0,,,,,,,,,,,1.7,3.0,0.0,5.0,,,,,,,,,,,14.0,14.0,1.0,0.0,14.0,15.3,3.0,1.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,9.0,0.0,0.0,22.0,0.0,2.0,31.0,,,,,,,,,,,,,5.0,0.0,0.0,20.0,1.0,2.0,28.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,17.0,0.0,1.0,20.0
2024,44,2,12,Jackson Powers-Johnson,Center,Oregon,Pac-12,Las Vegas,75.0,328.0,55.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,45,2,13,Edgerrin Cooper,Linebacker,Texas A&M,SEC,Green Bay,74.0,230.0,41.0,86.0,Texas A&M,2023.0,2.0,9.0,9.5,42.0,0.0,18.5,83.0,0.0,0.0,1.0,Texas A&M,2022.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas A&M,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas A&M,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,5.0,5.0,0.0,33.0,0.0,8.0,61.0,,,,,,,,,,,,,1.0,2.0,0.5,37.0,0.0,5.5,58.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2024,46,2,14,Jonathon Brooks,Running Back,Texas,Big 12,Carolina,72.0,216.0,42.0,86.0,Texas,2023.0,,,,,,,,1.0,1.0,0.0,Texas,2022.0,,,,,,,,,,,,,,,,,73.0,25.0,1.0,286.0,11.4,187.0,67.0,10.0,1139.0,6.1,34.0,2.0,1.0,37.0,18.5,30.0,70.0,5.0,197.0,6.6,Texas,2021.0,0.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,12.0,12.0,21.0,25.0,1.0,143.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,
2024,47,2,15,Tyler Nubin,Safety,Minnesota,Big Ten,New York,74.0,199.0,52.0,83.0,Minnesota,2023.0,3.0,0.0,1.0,31.0,0.0,1.0,50.0,1.0,0.0,1.0,Minnesota,2022.0,10.8,4.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota,2021.0,,,,,,,,,,,,,,,,-9.0,0.0,1.0,0.0,-9.0,,,,,,,,,,,,,,,Minnesota,2020.0,,,,,,,,,,,13.2,5.0,0.0,66.0,,,,,,,,,,,,,,,,14.0,3.0,0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,37.0,0.0,2.0,55.0,,,,,,,,,,,,,2.0,0.0,1.0,35.0,0.0,1.0,49.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.5,41.0
2024,48,2,16,Maason Smith,Defensive Tackle,LSU,SEC,Jacksonville,77.0,306.0,49.0,84.0,LSU,2023.0,2.0,3.0,2.5,8.0,0.0,4.5,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSU,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4.0,13.0,0.0,5.0,19.0,,,,,,,,,,,,,
2024,49,2,17,Kris Jenkins,Defensive Tackle,Michigan,Big Ten,Cincinnati,75.0,299.0,47.0,84.0,Michigan,2023.0,0.0,3.0,2.0,16.0,0.0,4.0,34.0,0.0,0.0,1.0,Michigan,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michigan,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,26.0,0.0,3.5,48.0,,,,,,,,,,,,,0.0,1.0,0.0,8.0,0.0,0.5,22.0,,,,,,,,,,,,,
2024,50,2,18,Mike Sainristil,Cornerback,Michigan,Big Ten,Washington,69.0,182.0,75.0,77.0,Michigan,2023.0,6.0,3.0,2.0,20.0,2.0,5.0,36.0,,,,Michigan,2022.0,8.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michigan,2021.0,13.5,23.0,2.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michigan,2020.0,,,,,,,,,,,38.7,6.0,2.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,2.0,31.0,0.0,4.5,48.0,,,,,,,,,,,,,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,
2024,51,2,19,Zach Frazier,Center,West Virginia,Big 12,Pittsburgh,75.0,313.0,63.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,52,2,20,Adonai Mitchell,Wide Receiver,Texas,Big 12,Indianapolis,74.0,205.0,29.0,88.0,Texas,2023.0,,,,,,,,1.0,0.0,0.0,Georgia,2022.0,,,,,,,,,,,,,,,,,62.0,55.0,11.0,845.0,15.4,2.0,5.0,0.0,1.0,0.5,27.0,9.0,3.0,134.0,14.9,,,,,,Georgia,2021.0,,,,,,40.0,29.0,4.0,426.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,
2024,53,2,21,Ben Sinnott,Tight End,Kansas State,Big 12,Washington,76.0,250.0,93.0,72.0,Kansas State,2023.0,,,,,,,,1.0,0.0,0.0,Kansas State,2022.0,,,,,,,,,,,,,,,,,44.0,49.0,6.0,676.0,13.8,,,,,,39.0,31.0,4.0,447.0,14.4,,,,,,Kansas State,2021.0,,,,,,11.0,2.0,0.0,15.0,7.5,3.0,9.0,1.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
